0 0 0
5 5 1
23 18 2
27 4 3
31 4 4
38 7 5
50 12 6
55 5 7
81 26 8
125 44 9
177 52 10
231 54 11
284 53 12
337 53 13
389 52 14
442 53 15
494 52 16
547 53 17
602 55 18
655 53 19
709 54 20
758 49 21
807 49 22
856 49 23
908 52 24
